,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
0,bourneultim8,,,176,4,530,4,"Now that the #ZomatoIPO applications are done, I still cannot fathom why so many people are so interested in it.

I can bet you WILL get it at lower than the IPO price within a year.

If you are doing it for listing gains, you shouldn't be investing in stocks.",['ZomatoIPO']
1,tag_vignesh,"Playing with stocks, currencies and cryptos",India,3,3,10,0,#ZomatoIPO  Employees know the company well. That's why employee quota is not filled. https://t.co/Qx1JlMzpAg,['ZomatoIPO']
2,Sid9786,"Football , Rock n Roll & Food",,602,56,684,913,"1)#ZomatoIPO : LONG THREAD: Once in a decade opportunity…. for some?

Is the IPO the golden opportunity for investors, as claimed by many? How much appreciation can one expect? A multi-year holding story or just a listing pop. This time it’s different, or is it? Let’s evaluate:",['ZomatoIPO']
3,aman_dhingra,"Tech Banker @ ICICI Securities || What interests me? Technology, Start-ups, Economics, Politics, and Movies (in order of increasing importance :P )",Mumbai,420,225,354,36,"We Indians ❤️ our food ! @ICICI_Direct  retail investors have just invested nearly Rs 1,400 crores comprising ~ 15% retail all money collected to add a bit more flavour to their portfolio 🥘 with #ZomatoIPO !

All the best for the journey ahead @deepigoyal and @sbikh",[]
4,mahalpure,Experiencing the experience 💫,India,43,325,2596,0,"Employees undersubscribed at IPO. 
0.6x only.

This scares me. #ZomatoIPO",['ZomatoIPO']
5,Fintrovert_com,"📈Market Sentiments, Financial Infographics, News, Sensex, Nifty


📝For educational purpose only

📱Insta: @fintrovert_com

📨Telegram: https://t.co/LcqValIy2g",,312,107,211,43,"1 Rupaye ki Keemat tum kya Jaano Market Babu!

The avg cost of Acquisition of Zomato shares by Info Edge :) 

#ZomatoIPO https://t.co/C17hIGQczC",[]
6,avrk9,Investor,Mumbai,705,58,1447,36,"We Indians ❤️ our food ! @ICICI_Direct  retail investors have just invested nearly Rs 1,400 crores comprising ~ 15% retail all money collected to add a bit more flavour to their portfolio 🥘 with #ZomatoIPO !

All the best for the journey ahead @deepigoyal and @sbikh",[]
7,CADipeshParmar,Be Kind,MUMBAI,100,15,1965,8,Only employees of #Zomato knew the value or they've already got enough of #ESOPs? #ZomatoIPO https://t.co/es8nyAPuo0,"['Zomato', 'ESOPs', 'ZomatoIPO']"
8,arthasakshar,"We publish Personal Finance articles in Marathi. RTs are not endorsements. 
YouTube: https://t.co/h0OVzGGto2","Pune, India",234,2816,5128,913,"1)#ZomatoIPO : LONG THREAD: Once in a decade opportunity…. for some?

Is the IPO the golden opportunity for investors, as claimed by many? How much appreciation can one expect? A multi-year holding story or just a listing pop. This time it’s different, or is it? Let’s evaluate:",['ZomatoIPO']
9,Vijaysagar_Agri,"ab_post
IPO's / SM / Banker / Agribusiness Professional","Gujarat, India",272,15,64,0,"Zomato's IPO Order will not be delivered to all, due to oversubscription. 

#ZomatoIPO 
#IPOAlert 
#IPOTracker 
#abpost","['ZomatoIPO', 'IPOAlert', 'IPOTracker', 'abpost']"
10,vishalsukheja,"Marketer, Product guy @FirstHive Tweets about Startups, Product, Marketing, Sports","Bengaluru, India",1069,434,12345,4,"Now that the #ZomatoIPO applications are done, I still cannot fathom why so many people are so interested in it.

I can bet you WILL get it at lower than the IPO price within a year.

If you are doing it for listing gains, you shouldn't be investing in stocks.",['ZomatoIPO']
11,krishankdubey,Real estate. Investing. Alumnus- IIM Indore & DA-IICT,"Chhattisgarh, India",3545,176,151,913,"1)#ZomatoIPO : LONG THREAD: Once in a decade opportunity…. for some?

Is the IPO the golden opportunity for investors, as claimed by many? How much appreciation can one expect? A multi-year holding story or just a listing pop. This time it’s different, or is it? Let’s evaluate:",['ZomatoIPO']
12,SaritaR04419871,,,0,0,2,23,"Travel and Food are BFF's 
So Let's take off your #flight on #ZomatoIPO  ..!! 

Enjoy your #Stay there for a while"" 

@zomato 
#Zomato #HappyEasyGo #Travel #Food #startups","['flight', 'ZomatoIPO', 'Stay']"
13,souravadmirer,You can change only when you feel psychologically safe!,,740,24,941,913,"1)#ZomatoIPO : LONG THREAD: Once in a decade opportunity…. for some?

Is the IPO the golden opportunity for investors, as claimed by many? How much appreciation can one expect? A multi-year holding story or just a listing pop. This time it’s different, or is it? Let’s evaluate:",['ZomatoIPO']
14,chachaji18,,,16,1,216,913,"1)#ZomatoIPO : LONG THREAD: Once in a decade opportunity…. for some?

Is the IPO the golden opportunity for investors, as claimed by many? How much appreciation can one expect? A multi-year holding story or just a listing pop. This time it’s different, or is it? Let’s evaluate:",['ZomatoIPO']
15,1stCheque_Favcy,A platform for first-time angel investors to learn the science of early-stage startup evaluation.,Gurugram,25,106,56,0,"More orders are pouring in for the IPO subscription than biriyani orders on @zomato!

Zomato's IPO raised a lot of excitement amongst retail and institutional investors. The numbers at the close of the subscription don't disappoint! Here's a brief look at them.

#ZomatoIPO https://t.co/bKOWLrx50R",['ZomatoIPO']
16,abhijoymo,"Dead soul wid many thoughts. lyk livin my life, Food freak, promoting peace. TLC/discovery n comedy a must in myplate to increase my bio!!!! Affirmations",,501,114,3735,913,"1)#ZomatoIPO : LONG THREAD: Once in a decade opportunity…. for some?

Is the IPO the golden opportunity for investors, as claimed by many? How much appreciation can one expect? A multi-year holding story or just a listing pop. This time it’s different, or is it? Let’s evaluate:",['ZomatoIPO']
17,Eqphoenix,Crypto & Equity Investor. Wanna make this world a better place for everyone. HoDL #BTC #Ether,"दिल्ली, भारत",95,2,36,0,"#ZomatoIPO valuations are crazy. Hire a good IT team, start a similar business, invest 3-5 crore initially, bring in VCs, PE funds etc, sell food at extra 10-20% discount than #Zomato #swiggy and after 2-3 years list business on #NSE #BSE at $2-3bn valuations.","['ZomatoIPO', 'Zomato', 'swiggy', 'NSE', 'BSE']"
18,SACHINTAK55,"#BIGOBASKET #FOODICPUNE #PUNEPANDA #AAJKUCHTOOFANIFOODI #PUNEPICITY #JOBIGMARKET #SALESACHIN #SALESUN ☀ #TEAMAGIC #SALESUPER 
 #MAGICUSTOMERS #HRIVER","Pune, India",2464,734,40393,0,@Rssamul #ZomatoIPO #IPO  #AAJKUCHTOOFANIFOODI APNA #FOODIPO #AMULHAPPYTREATS #IPO = #INDIAMUL #PARATHAMUL #ONION SOEASYTOHOMEMADE COO👑 READYTOCOOK #COOKING #PARATHA 🏡 OF #cheese walamul ka #foodie #BIGOBASKET  FOODIPO ALWAYS #Amul #PARATHATM  ANY TIME  PARATHA https://t.co/WMq3W16a9w,"['ZomatoIPO', 'IPO', 'AAJKUCHTOOFANIFOODI', 'FOODIPO', 'AMULHAPPYTREATS', 'IPO', 'INDIAMUL', 'PARATHAMUL', 'ONION', 'COOKING', 'PARATHA', 'cheese', 'foodie', 'BIGOBASKET', 'Amul', 'PARATHATM']"
19,SACHINTAK55,"#BIGOBASKET #FOODICPUNE #PUNEPANDA #AAJKUCHTOOFANIFOODI #PUNEPICITY #JOBIGMARKET #SALESACHIN #SALESUN ☀ #TEAMAGIC #SALESUPER 
 #MAGICUSTOMERS #HRIVER","Pune, India",2464,734,40393,0,@ChaudhryShankar #ZomatoIPO #IPO #Zomato #AAJKUCHTOOFANIFOODI APNA #FOODIPO #AMULHAPPYTREATS #IPO = #INDIAMUL #PARATHAMUL #ONION SOEASYTOHOMEMADE COO👑 READYTOCOOK #COOKING #PARATHA 🏡 OF #cheese walamul ka #foodie #BIGOBASKET ALWAYS #Amul #PARATHATM  ANY TIME  PARATHA https://t.co/WMq3W16a9w,"['ZomatoIPO', 'IPO', 'Zomato', 'AAJKUCHTOOFANIFOODI', 'FOODIPO', 'AMULHAPPYTREATS', 'IPO', 'INDIAMUL', 'PARATHAMUL', 'ONION', 'COOKING', 'PARATHA', 'cheese', 'foodie', 'BIGOBASKET', 'Amul', 'PARATHATM']"
20,vishalk82,"Food is my passion, drinking is my vice, travel is my addiction, and aditi is my life!",Mumbai,154,976,6420,1,@hvgoenka #ZomatoIPO private equity partners are not selling or selling very low stake during an ipo https://t.co/7x28C0fIKS,['ZomatoIPO']
21,TanuPahwa5,,,2,0,30,2,"I found a late comer like me - "" zomato "" raising IPO when it's already valued at $8 billion dollars. 
#ZomatoIPO #Zomato #zomatoindia",['ZomatoIPO']
22,moneycontrolcom,"Moneycontrol is India’s No. 1 financial portal. Tune in for breaking news, in-depth analyses, best investment tools. Get #MCPro for exclusive content & benefits",Mumbai,306,1142463,312771,2,"With Zomato's IPO oversubscribed on day 3, 
Harsh Goenka took a swipe at the food delivering app.
Read the full story at
https://t.co/mUdzPODcaN

 #HarshGoenka #IPO #ZomatoIPO","['HarshGoenka', 'IPO', 'ZomatoIPO']"
23,ABHISFHD,,Aryavart,296,142,31108,913,"1)#ZomatoIPO : LONG THREAD: Once in a decade opportunity…. for some?

Is the IPO the golden opportunity for investors, as claimed by many? How much appreciation can one expect? A multi-year holding story or just a listing pop. This time it’s different, or is it? Let’s evaluate:",['ZomatoIPO']
24,an___official,,"Kerala, India",142,9,130,0,⚡ @Zomato IPO SUBSCRIBED 7.45X BY RI'S #ZomatoIPO #Zomato #IPO https://t.co/pD4mj3Lzuc,"['ZomatoIPO', 'Zomato', 'IPO']"
25,ajfben,,"Hyderabad, India",589,294,48535,0,@CNBCTV18Live @Parikshitl @bash When is your company coming to #CapitalMarket  #IPOTracker #ZomatoIPO #PaytmIPO #MobikwikIPO,"['CapitalMarket', 'IPOTracker', 'ZomatoIPO', 'PaytmIPO', 'MobikwikIPO']"
26,lalatendu4u,"Nation First || 
Pro-Life ||
Anti-Hipocrisy ||
Hindu by heart ||
Cricket is Indian ||
Football is Manchester United ||
A software engineer ||",India,241,78,6562,0,"Somebody was really jealous.😂
#ZomatoIPO https://t.co/k2NYTGmKq1",['ZomatoIPO']
27,sss48216239,.,,0,0,2,23,"Travel and Food are BFF's 
So Let's take off your #flight on #ZomatoIPO  ..!! 

Enjoy your #Stay there for a while"" 

@zomato 
#Zomato #HappyEasyGo #Travel #Food #startups","['flight', 'ZomatoIPO', 'Stay']"
28,Shubh27063956,,,0,0,2,23,"Travel and Food are BFF's 
So Let's take off your #flight on #ZomatoIPO  ..!! 

Enjoy your #Stay there for a while"" 

@zomato 
#Zomato #HappyEasyGo #Travel #Food #startups","['flight', 'ZomatoIPO', 'Stay']"
29,HimanshuG__,Newbie who is using Twitter for ages.,"Rajasthan, India",267,289,2842,1,#ZomatoIPO subscribers expectations: https://t.co/KZFReCQlaB,['ZomatoIPO']
30,AmarbirJogar,Software Engineer @Microsoft #MSFTAdvocate   #AspNetCore #WebApi #Azure #Blazor  #MachineLearning #DataScience,"Hyderabad, India",1386,52,1245,2,"@AmarbirJogar @AmazonHelp Dear @amazon @AmazonHelp 
Its really depressing to see how you guys are operating in India &amp; how this harassment of customers going on by so called world class company.
I am sure this is not what @JeffBezos has dreamt about Amazon to be as world class brand.

#ZomatoIPO",[]
31,DeepakK95444664,,,0,0,2,23,"Travel and Food are BFF's 
So Let's take off your #flight on #ZomatoIPO  ..!! 

Enjoy your #Stay there for a while"" 

@zomato 
#Zomato #HappyEasyGo #Travel #Food #startups","['flight', 'ZomatoIPO', 'Stay']"
32,navin_modi,"Positive on India of our dream , RT does not necessarily mean endorsement",,1033,105,2587,0,"Who is the biggest food subsidy provider in India : Swiggy , Zomato or Govt  #ZomatoIPO #ZomatoIPOLoss #Zomato","['ZomatoIPO', 'ZomatoIPOLoss', 'Zomato']"
33,bhakhan,Lawyer | DU-2011| Ex PwC| Corporate Consultant|,Delhi,3217,464,13787,62,In love with this video on @zomato #zomatoipo @deepigoyal @hitobs @sbikh 🙌🏻🤗🙏🏻⭐️⭐️⭐️⭐️ https://t.co/rAd7WwTMCZ,['zomatoipo']
34,KalpnaG98423428,,,0,0,1,0,"@happyeasygo @zomato Stupendo fantastically magicorious 
 🥳Simply just awesome..😊
#happyeasygo and #ZomatoIPO","['happyeasygo', 'ZomatoIPO']"
35,MURLIKHANDELWAL,"💰value investor 💰marathoner,nature lover",RAJNANDGAON,255,157,975,1,@hvgoenka #ZomatoIPO private equity partners are not selling or selling very low stake during an ipo https://t.co/7x28C0fIKS,['ZomatoIPO']
36,kunalbankhile,"A Part Time Trader and full time investot
Mechanical engineer
BEE certified Energy auditor
Marketing professional
Sports lover",,11,0,17,0,"""Zomato is not seen very keen with retail participation but Qualified institutions and Non institutional investors nailed it""

It's almost 9000 CR IPO x 38X
 Money on bet
= 342000 /- CR
Huge demand, can see good rally in first week of debut
#Nifty #ZomatoIPO #nseindia #bseindia","['Nifty', 'ZomatoIPO', 'nseindia', 'bseindia']"
37,VikramR42266879,Always hope but never expect.,,12,1,3,0,@happyeasygo @zomato Great initiative #HappyEasyGo #ZomatoIPO,"['HappyEasyGo', 'ZomatoIPO']"
38,VikramR42266879,Always hope but never expect.,,12,1,3,23,"Travel and Food are BFF's 
So Let's take off your #flight on #ZomatoIPO  ..!! 

Enjoy your #Stay there for a while"" 

@zomato 
#Zomato #HappyEasyGo #Travel #Food #startups","['flight', 'ZomatoIPO', 'Stay']"
39,hange_yashvant,"❤Proud Indian❤
🇮🇳tweets related to India's Interests🇮🇳 I Retweet to increase Voice of Indian People🇮🇳🇮🇳",India,43,24,1634,0,"Every body is Nervous about #ZomatoIPO But keep in mind Investor will prefer company whose shares are in his Demat. 

Suppose Just 500K people brought Zomato share then 500K+ their Own mouth Publicity will bring Customers for Zomato without Spending a penny on it.#investing #IPO","['ZomatoIPO', 'investing', 'IPO']"
40,Dojngmybest,Learner and investor,India,118,0,8,0,#ZomatoIPO #PaytmIPO If loss making businesses are getting such premium than #Euphoria is at peak. Reminds #rpowerIPO &amp; post listing events. Will history repeat ?,"['ZomatoIPO', 'PaytmIPO', 'Euphoria', 'rpowerIPO']"
41,iamPanditRahul,Growth Hacker | Digital | Book Fanatical | Movies | Current Affairs | सुधरण्याच्या मार्गावर...| ☮,"Maharashtra, India",679,115,250,0,"After ZOMATO, PayTM is now planning to do their IPO in India. 
And they want to make it the biggest IPO raise in India ever planning to raise INR 16,600cr! 

#ZomatoIPO #PaytmIPO","['ZomatoIPO', 'PaytmIPO']"
42,Thevasusinghal,"महफ़िल मैं चल रही थी हमारे कत्ल की तैयारी हम पहुंचे ,, तो बोले अरे वाह बड़ी लंबी उम्र है तुम्हारी ।","New Delhi, India",103,3,20,0,"@happyeasygo @zomato Creative Banter #HappyEasyGo  #ZomatoIPO  
@zomato","['HappyEasyGo', 'ZomatoIPO']"
43,Thevasusinghal,"महफ़िल मैं चल रही थी हमारे कत्ल की तैयारी हम पहुंचे ,, तो बोले अरे वाह बड़ी लंबी उम्र है तुम्हारी ।","New Delhi, India",103,3,20,23,"Travel and Food are BFF's 
So Let's take off your #flight on #ZomatoIPO  ..!! 

Enjoy your #Stay there for a while"" 

@zomato 
#Zomato #HappyEasyGo #Travel #Food #startups","['flight', 'ZomatoIPO', 'Stay']"
44,SSagail,Social worker,"हरियाणा, भारत",1024,536,186,23,"Travel and Food are BFF's 
So Let's take off your #flight on #ZomatoIPO  ..!! 

Enjoy your #Stay there for a while"" 

@zomato 
#Zomato #HappyEasyGo #Travel #Food #startups","['flight', 'ZomatoIPO', 'Stay']"
45,JatinAr95222049,COMMON MAN,,2,0,2,23,"Travel and Food are BFF's 
So Let's take off your #flight on #ZomatoIPO  ..!! 

Enjoy your #Stay there for a while"" 

@zomato 
#Zomato #HappyEasyGo #Travel #Food #startups","['flight', 'ZomatoIPO', 'Stay']"
46,pnavadgi,"Tweets are personal. Issues which impact life of citizens, Environment, Public Transportation, Info Tech,Finance,Economy. RTs are not endorsements.","South Mumbai,India",227,330,19762,0,"All more reason for Modi Govt to hike Petrol, Diesel price. If people have over subscribed in IPO of Zomato (loss making food delivery app), thy wont mind pay 100 /lit of petrol. Expecting this type of argument by uncles on whatsapp! #ZomatoIPO #PetrolPriceHike #PetrolPrice","['ZomatoIPO', 'PetrolPriceHike', 'PetrolPrice']"
47,ThotadaNaveen,,,0,0,4,0,"By the way, the order number is  3538516235. Don’t worry I already got the refund and I feel great with the empty stomach!!  #zomatosucks #zomatoipo","['zomatosucks', 'zomatoipo']"
48,dutta_jyotsna,,,22,2,27,23,"Travel and Food are BFF's 
So Let's take off your #flight on #ZomatoIPO  ..!! 

Enjoy your #Stay there for a while"" 

@zomato 
#Zomato #HappyEasyGo #Travel #Food #startups","['flight', 'ZomatoIPO', 'Stay']"
49,Tanuja27466125,,,19,1,5,23,"Travel and Food are BFF's 
So Let's take off your #flight on #ZomatoIPO  ..!! 

Enjoy your #Stay there for a while"" 

@zomato 
#Zomato #HappyEasyGo #Travel #Food #startups","['flight', 'ZomatoIPO', 'Stay']"
50,Deepak76444066,,,6,0,32,23,"Travel and Food are BFF's 
So Let's take off your #flight on #ZomatoIPO  ..!! 

Enjoy your #Stay there for a while"" 

@zomato 
#Zomato #HappyEasyGo #Travel #Food #startups","['flight', 'ZomatoIPO', 'Stay']"
51,DIVYANSH2502,"Stock Broker || Finance Enthusiast || 
Learning || Growing || Sharing ||

Views & Retweets are personal and not a recommendation","Uttar Pradesh, India",1042,80,2372,4,"Performance Table of the IPO listed in 2021 as of July 16 

🆁🅴🆃🆆🅴🅴🆃 For Maximum Awareness!!

IPO Gems 🔻
@ipo_mantra @Team_IPOMantra
@ipo_central @ipo_agarwal @UnlistedArena  @financepost_in
@FinancialAdda

#Ipoji #ipo #ZomatoIPO https://t.co/cp4MvYUzTb",[]
52,Shubhu0194,"Views my own
Not sebi registered
No stocks advices given
just my research","New Delhi, India",133,28,722,0,"Coal india looks Interesting. Global coal prices at life highs. 

Target of coal india in July? 
@shail_bhatnagar @sanjiv_bhasin @CNBC_Awaaz #nifty #ZomatoIPO #stocks #stockstowatch #stockselection","['nifty', 'ZomatoIPO', 'stocks', 'stockstowatch', 'stockselection']"
53,SagarTickoo15,,,40,0,8,23,"Travel and Food are BFF's 
So Let's take off your #flight on #ZomatoIPO  ..!! 

Enjoy your #Stay there for a while"" 

@zomato 
#Zomato #HappyEasyGo #Travel #Food #startups","['flight', 'ZomatoIPO', 'Stay']"
54,PriyankS_tweets,Disconnect to connect!!!,India,363,122,2365,913,"1)#ZomatoIPO : LONG THREAD: Once in a decade opportunity…. for some?

Is the IPO the golden opportunity for investors, as claimed by many? How much appreciation can one expect? A multi-year holding story or just a listing pop. This time it’s different, or is it? Let’s evaluate:",['ZomatoIPO']
55,the_ankit_soni,"Herb lover, Social Media Vegetable, CS 1.6 Amateur, Digital Marketer turned Growth Hacker, budding entrepreneur. Tweets/RT's are personal.","Mumbai, India",1198,646,3565,0,"Fact: $Zomato was undersubscribed by its employees (only 60%). 

After all the hype around #ZomatoIPO  is now over, wanted to share this which may make you rethink what you must do after its listing. Now think who knows the realities from within and decided to stay away. 😅 https://t.co/lp0aCBuyKj",['ZomatoIPO']
56,yogeshmehtain,"Founder Yield Maximisers - Advisory  Firm

Tactical Portfolio Strategies....Chase Returns","Mumbai, India",48,1528,1657,0,"Everyone uses it and yet hates it.
Next Gen unicorn stock.
#ZomatoIPO 
#Zomato","['ZomatoIPO', 'Zomato']"
57,ninad911,F1. Automobiles. Movies. Motorcycling. Hiking. Learning. Lift and let lift (or not).,Nomad,1107,332,7959,913,"1)#ZomatoIPO : LONG THREAD: Once in a decade opportunity…. for some?

Is the IPO the golden opportunity for investors, as claimed by many? How much appreciation can one expect? A multi-year holding story or just a listing pop. This time it’s different, or is it? Let’s evaluate:",['ZomatoIPO']
58,dhairyarf,"Chartered Accountant  | Loves to read about Investing, Personal Finance, Compounding|  Sports ❤️| Passionate| Aren't we all Travellers?","Ahmadabad City, India",333,143,743,0,"@hvgoenka Whatever Pun or Sarcasm you make sir, the fact is that it is highly oversubscribed and insanely valued! Is it worth it or a bubble, only time will tell! #ZomatoIPO",['ZomatoIPO']
59,nagaraj2008,,,3299,20,4608,1,"#India’s #IPO market gearing up for a bigger boom | #PoliticsPrettySimple …
#ZomatoIPO #StockMarket https://t.co/YBm1X35Czf https://t.co/KNq0XxnnPG","['India', 'IPO', 'PoliticsPrettySimple', 'ZomatoIPO', 'StockMarket']"
60,ekta_yogi,,"Pune, India",54,14,28,913,"1)#ZomatoIPO : LONG THREAD: Once in a decade opportunity…. for some?

Is the IPO the golden opportunity for investors, as claimed by many? How much appreciation can one expect? A multi-year holding story or just a listing pop. This time it’s different, or is it? Let’s evaluate:",['ZomatoIPO']
61,logicalgabbar,,Titan,150,2646,47350,0,"@hvgoenka Well said soon their will be conditions like movie wolf of wall Street.
After #ZomatoIPO success anybody can loot retailers.",['ZomatoIPO']
62,jainkirit,Learner & Jeweller,"Mumbai, India",430,59,2480,1,"Long term Stocks which i will keep in my portfolio for at least 5 years:
#tatapower
#tatamotor 
#TATAELXSI 
#hindcopper 
#nationalum
#Infosys 
#happiestmind 
#ZomatoIPO 
#Paytm 
#hdfcbank 
#ITC 😆
#ultracemco
#sail","['tatapower', 'tatamotor', 'TATAELXSI', 'hindcopper']"
63,StockInfinities,"Stock News on Indian stock market in simple language. Beware of heavy numbers of tweets.
Telegram: https://t.co/JXsAccteyc",New Delhi,5,2119,26123,1,Have you applied for #ZomatoIPO ?,['ZomatoIPO']
64,Bhaskar_dg403,Market cycle study,,96,54,499,913,"1)#ZomatoIPO : LONG THREAD: Once in a decade opportunity…. for some?

Is the IPO the golden opportunity for investors, as claimed by many? How much appreciation can one expect? A multi-year holding story or just a listing pop. This time it’s different, or is it? Let’s evaluate:",['ZomatoIPO']
65,MoneyMarkets5,,,15,7,236,913,"1)#ZomatoIPO : LONG THREAD: Once in a decade opportunity…. for some?

Is the IPO the golden opportunity for investors, as claimed by many? How much appreciation can one expect? A multi-year holding story or just a listing pop. This time it’s different, or is it? Let’s evaluate:",['ZomatoIPO']
66,Kadaravali,"Entrepreneur, Product Development, Interests in Numismatic,Philately Liberal leaning towards socialism. https://t.co/LsNKVrHJp0","Bengaluru, India",206,185,12371,913,"1)#ZomatoIPO : LONG THREAD: Once in a decade opportunity…. for some?

Is the IPO the golden opportunity for investors, as claimed by many? How much appreciation can one expect? A multi-year holding story or just a listing pop. This time it’s different, or is it? Let’s evaluate:",['ZomatoIPO']
67,mayurvmehta,"CA by Profession, Options Trader, Value Investor...",,134,150,1318,43,"1 Rupaye ki Keemat tum kya Jaano Market Babu!

The avg cost of Acquisition of Zomato shares by Info Edge :) 

#ZomatoIPO https://t.co/C17hIGQczC",[]
68,FinancialKarma1,"Cricket & stock lover. Participant in Indian stock markets since past 20 years. Some stories, anecdotes and folklores from the world of stocks and investment.",,70,31,239,0,"All today's multibaggers were once an IPO..Amazed by experts saying IPO market is froth..God save investors from those experts who advised not to invest in Happiest minds,CAMS, Angel, Route, Gland, Nureca, Heranba, Laxmi etc and now KIMS..#ZomatoIPO",['ZomatoIPO']
69,TradersRookie,"Full Time Trader
Stock Market Enthusiast
Army Brat
#SwingTrader #Investor #StockMarket #StockMarketTrading",,19,25,216,1,"Long term Stocks which i will keep in my portfolio for at least 5 years:
#tatapower
#tatamotor 
#TATAELXSI 
#hindcopper 
#nationalum
#Infosys 
#happiestmind 
#ZomatoIPO 
#Paytm 
#hdfcbank 
#ITC 😆
#ultracemco
#sail","['tatapower', 'tatamotor', 'TATAELXSI', 'hindcopper', 'nationalum', 'Infosys', 'happiestmind', 'ZomatoIPO', 'Paytm', 'hdfcbank', 'ITC', 'ultracemco', 'sail']"
70,RelatableShiv,,India,0,0,2,0,"People after applying for Zomato IPO from 10 different accounts.

#Zomato #zomatoipo https://t.co/jPqzAb8Gzg","['Zomato', 'zomatoipo']"
71,VivekTweats,,India,96,133,524,14,"I believe #ZomatoIPO is just going to help the initial investors exit at a much higher valuation and make them ultra rich. I guess Good time to buy this stock is when some delivery guy mess up and it becomes a media sensation &amp; stock tanks, that’s the right time to get in😜",['ZomatoIPO']
72,StopLossLagaKe,"Just for Fun.Parody Account.Take it with🧂                 



Tweets on Individual scrips not recommendation. May or may not hold in Portfolio.",,548,4255,4484,0,"HELLp 
#Zomato #ZomatoIPO https://t.co/2pjY0dq9hV","['Zomato', 'ZomatoIPO']"
73,SivakanthVarada,Twitter for Kalyan,Amalapuram (Konaseema),117,225,15047,15,"Finally found a ""Cash Cow"" that I use to study in Strategic management.
#icaiexams #caexams #finance #ZomatoIPO #zomatoindia #MBA https://t.co/bsnSOrM1Ok","['icaiexams', 'caexams', 'finance', 'ZomatoIPO']"
74,VRameshV_,Independent Director; Former MD&CEO MF Utility. Ex-Dy CEO AMFI. All views tweeted are personal & do not represent anyone else. Passionate actor.,"Mumbai, Maharashtra",70,2637,6296,0,"#ZomatoIPO shows that stock market has lost sense of ""fundamentals"" for ""price discovery""......... 
Soon #PaytmIPO will further validate this.","['ZomatoIPO', 'PaytmIPO']"
75,iNikhilPandey,,"Mumbai, India",739,221,19220,4,"Now that the #ZomatoIPO applications are done, I still cannot fathom why so many people are so interested in it.

I can bet you WILL get it at lower than the IPO price within a year.

If you are doing it for listing gains, you shouldn't be investing in stocks.",['ZomatoIPO']
76,SelfDoubtist,"Can speak authoritatively on topics I have absolutely no idea about. Why I 💕 Twitter: the Ted Talk of self-gratifying inanity, world's garbage capital.",Bangalore (TecHalli),1368,236,6882,0,"The interesting bit about #ZomatoIPO is this: employee portion wasn't subscribed fully. What does that tell us? That they already have enough of Zomato stock? Or they have themselves low faith in the venture? On the other hand, the public portion for oversubscribed 32 times!",['ZomatoIPO']
77,syed_sofiya,Chartered Accountant || Day Dreamer || Traveller || Daughter || Wife,"New Delhi, India",295,106,968,2,"Zomato creates history: India's First 'Unicorn'

#ZomatoIPO #Zomato #zomatoindia #StockMarket #memes2021 @zomato https://t.co/w0ck6bhINa","['ZomatoIPO', 'Zomato', 'zomatoindia', 'StockMarket', 'memes2021']"
78,vcube23,"Computer Engineer (Retweets are not endorsements)
Tweets on #Technology, #Policy, #IT, #Governance, #AI.
Follows #F1, #MotoGP, #SpaceX.
#Privacy #ConsumerRights",Democracy,5002,262,31225,0,"Opinion-
Seeing #ZomatoIPO oversubscribed, one thing is sure that Markets are over heated which also suggest that a huge bubble is waiting to be bursted.
Liquidity is too much this time &amp; record people are entering markets.
#Zomato is a loss making, remember #ReliancePower IPO !","['ZomatoIPO', 'Zomato', 'ReliancePower']"
79,Aniketkibe,"A cricket fanatic,Liverpool devotee,football lover,movie buff and techie pursuing a International Business degree..",,443,273,3663,913,"1)#ZomatoIPO : LONG THREAD: Once in a decade opportunity…. for some?

Is the IPO the golden opportunity for investors, as claimed by many? How much appreciation can one expect? A multi-year holding story or just a listing pop. This time it’s different, or is it? Let’s evaluate:",['ZomatoIPO']
80,UnlistedXChange,"We are Largest Investor, Dealers and Traders in #Unlisted #PreIPO #Shares in India.  Same Day / 24 Hours delivery of Shares. Fast, Secure & Seamless Execution.","Mumbai, India",17,312,432,0,"#ZomatoIPO Subscription Status. Employees still busy in delivery and not subscribed fully. 

#Unlisted #PreIPO #UnlistedStreet #UnlistedShares #BeforeIPO #Zomato 

https://t.co/Fn0anDrmTs","['ZomatoIPO', 'Unlisted', 'PreIPO', 'UnlistedStreet', 'UnlistedShares', 'BeforeIPO', 'Zomato']"
81,kkumbhat,Perennially curious. Brimming with ideas. Seeking a purpose. Currently adrift in the sea of life. Tea Plantations and Realty #YPO #HBS #OPM #UCBerkeley #CA,"Kolkata, Jaipur",249,1490,6364,1,"A pin lies in wait for every bubble in this world, and when they both meet, some new age investors learn some very old lessons!!!!! 😀😀

#Investing #StockMarket #ZomatoIPO #Stocks #ValueInvesting",[]
82,shitanshukverma,,India,35,3,150,913,"1)#ZomatoIPO : LONG THREAD: Once in a decade opportunity…. for some?

Is the IPO the golden opportunity for investors, as claimed by many? How much appreciation can one expect? A multi-year holding story or just a listing pop. This time it’s different, or is it? Let’s evaluate:",['ZomatoIPO']
